Date,High,Low,Open,Close,Volume,Adj Close,50ma,100ma,200ma,Symbol
2018-12-31,144.8699951171875,142.1699981689453,143.9199981689453,142.94000244140625,959800,142.94000244140625,142.94000244140625,142.94000244140625,142.94000244140625,ANSS
2019-01-02,143.67999267578125,137.13999938964844,140.19000244140625,143.00999450683594,711000,143.00999450683594,142.9749984741211,142.9749984741211,142.9749984741211,ANSS
2019-01-03,142.3800048828125,137.44000244140625,141.16000366210938,137.63999938964844,725800,137.63999938964844,141.19666544596353,141.19666544596353,141.19666544596353,ANSS
2019-01-04,144.6999969482422,138.4600067138672,139.49000549316406,143.66000366210938,632400,143.66000366210938,141.8125,141.8125,141.8125,ANSS
2019-01-07,148.58999633789062,143.35000610351562,144.0,147.32000732421875,486200,147.32000732421875,142.91400146484375,142.91400146484375,142.91400146484375,ANSS
2019-01-08,150.7100067138672,146.5800018310547,148.52999877929688,148.0500030517578,533600,148.0500030517578,143.77000172932944,143.77000172932944,143.77000172932944,ANSS
2019-01-09,151.9199981689453,148.25999450683594,148.75999450683594,150.63999938964844,379100,150.63999938964844,144.75142996651786,144.75142996651786,144.75142996651786,ANSS
2019-01-10,152.9199981689453,150.5500030517578,151.00999450683594,152.60000610351562,439900,152.60000610351562,145.73250198364258,145.73250198364258,145.73250198364258,ANSS
2019-01-11,154.8300018310547,151.00999450683594,151.82000732421875,154.75,594400,154.75,146.73444620768228,146.73444620768228,146.73444620768228,ANSS
2019-01-14,154.07000732421875,151.6300048828125,153.33999633789062,153.60000610351562,380800,153.60000610351562,147.42100219726564,147.42100219726564,147.42100219726564,ANSS
2019-01-15,156.4600067138672,153.6699981689453,153.86000061035156,156.16000366210938,441500,156.16000366210938,148.21545687588778,148.21545687588778,148.21545687588778,ANSS
2019-01-16,157.41000366210938,155.50999450683594,156.27000427246094,157.1300048828125,379400,157.1300048828125,148.95833587646484,148.95833587646484,148.95833587646484,ANSS
2019-01-17,158.6300048828125,155.52999877929688,156.24000549316406,158.30999755859375,381700,158.30999755859375,149.67769446739783,149.67769446739783,149.67769446739783,ANSS
2019-01-18,162.24000549316406,158.60000610351562,159.5500030517578,161.7100067138672,511200,161.7100067138672,150.53714534214564,150.53714534214564,150.53714534214564,ANSS
2019-01-22,163.1699981689453,157.41000366210938,161.1300048828125,161.02999877929688,479700,161.02999877929688,151.2366689046224,151.2366689046224,151.2366689046224,ANSS
2019-01-23,162.91000366210938,157.64999389648438,161.57000732421875,158.6300048828125,349000,158.6300048828125,151.69875240325928,151.69875240325928,151.69875240325928,ANSS
2019-01-24,159.24000549316406,157.00999450683594,158.58999633789062,158.10000610351562,445800,158.10000610351562,152.07529673856848,152.07529673856848,152.07529673856848,ANSS
2019-01-25,162.0,159.8699951171875,160.25,161.64999389648438,340200,161.64999389648438,152.6072243584527,152.6072243584527,152.6072243584527,ANSS
2019-01-28,161.25999450683594,158.8699951171875,160.25,160.6999969482422,219500,160.6999969482422,153.03315975791529,153.03315975791529,153.03315975791529,ANSS
2019-01-29,160.82000732421875,158.27000427246094,159.9600067138672,158.86000061035156,229400,158.86000061035156,153.32450180053712,153.32450180053712,153.32450180053712,ANSS
2019-01-30,163.47999572753906,159.0399932861328,160.25,162.99000549316406,321700,162.99000549316406,153.7847638811384,153.7847638811384,153.7847638811384,ANSS
2019-01-31,165.0399932861328,161.30999755859375,162.6699981689453,164.35000610351562,567400,164.35000610351562,154.26500216397372,154.26500216397372,154.26500216397372,ANSS
2019-02-01,168.05999755859375,161.24000549316406,164.44000244140625,167.5500030517578,505600,167.5500030517578,154.84261089822522,154.84261089822522,154.84261089822522,ANSS
2019-02-04,169.5800018310547,166.57000732421875,167.5399932861328,169.0500030517578,328400,169.0500030517578,155.43458557128906,155.43458557128906,155.43458557128906,ANSS
2019-02-05,170.61000061035156,168.8800048828125,169.5,170.22000122070312,212600,170.22000122070312,156.02600219726563,156.02600219726563,156.02600219726563,ANSS
2019-02-06,171.30999755859375,166.00999450683594,169.69000244140625,170.77999877929688,435400,170.77999877929688,156.59346360426682,156.59346360426682,156.59346360426682,ANSS
2019-02-07,170.72000122070312,168.80999755859375,169.1699981689453,169.5500030517578,353800,169.5500030517578,157.0733354356554,157.0733354356554,157.0733354356554,ANSS
2019-02-08,171.74000549316406,167.2899932861328,168.4600067138672,171.72999572753906,257300,171.72999572753906,157.59678758893693,157.59678758893693,157.59678758893693,ANSS
2019-02-11,173.11000061035156,170.99000549316406,172.49000549316406,171.22999572753906,388900,171.22999572753906,158.06689821440597,158.06689821440597,158.06689821440597,ANSS
2019-02-12,175.6199951171875,171.66000366210938,172.94000244140625,175.00999450683594,411000,175.00999450683594,158.6316680908203,158.6316680908203,158.6316680908203,ANSS
2019-02-13,175.97999572753906,173.0,175.61000061035156,173.11000061035156,404900,173.11000061035156,159.09871107532132,159.09871107532132,159.09871107532132,ANSS
2019-02-14,174.22000122070312,171.3699951171875,172.1999969482422,173.1999969482422,299400,173.1999969482422,159.5393762588501,159.5393762588501,159.5393762588501,ANSS
2019-02-15,174.55999755859375,173.00999450683594,174.4499969482422,174.49000549316406,338200,174.49000549316406,159.99242562958688,159.99242562958688,159.99242562958688,ANSS
2019-02-19,175.9199981689453,173.30999755859375,174.24000549316406,174.4600067138672,323700,174.4600067138672,160.417942720301,160.417942720301,160.417942720301,ANSS
2019-02-20,175.8699951171875,173.5,174.5,174.66000366210938,242000,174.66000366210938,160.82485874720982,160.82485874720982,160.82485874720982,ANSS
2019-02-21,175.58999633789062,172.9600067138672,174.5500030517578,174.49000549316406,242700,174.49000549316406,161.20444615681967,161.20444615681967,161.20444615681967,ANSS
2019-02-22,177.16000366210938,174.75,175.3000030517578,175.47999572753906,329900,175.47999572753906,161.59027182089315,161.59027182089315,161.59027182089315,ANSS
2019-02-25,177.38999938964844,174.9199981689453,177.38999938964844,175.00999450683594,483000,175.00999450683594,161.94342241789164,161.94342241789164,161.94342241789164,ANSS
2019-02-26,176.3000030517578,173.19000244140625,174.66000366210938,174.8300018310547,327600,174.8300018310547,162.27384753104968,162.27384753104968,162.27384753104968,ANSS
2019-02-27,176.9499969482422,173.27000427246094,173.94000244140625,176.8300018310547,553200,176.8300018310547,162.63775138854982,162.63775138854982,162.63775138854982,ANSS
2019-02-28,186.14999389648438,176.9199981689453,186.0,177.25999450683594,976800,177.25999450683594,162.99439146460557,162.99439146460557,162.99439146460557,ANSS
2019-03-01,182.86000061035156,178.33999633789062,179.64999389648438,182.22999572753906,677000,182.22999572753906,163.45238204229446,163.45238204229446,163.45238204229446,ANSS
2019-03-04,183.7899932861328,177.5500030517578,182.3800048828125,180.1300048828125,666200,180.1300048828125,163.84023373626,163.84023373626,163.84023373626,ANSS
2019-03-05,182.0399932861328,178.72999572753906,179.74000549316406,178.75,567200,178.75,164.1790920604359,164.1790920604359,164.1790920604359,ANSS
2019-03-06,179.7899932861328,177.1999969482422,178.52000427246094,178.67999267578125,420900,178.67999267578125,164.50133429633246,164.50133429633246,164.50133429633246,ANSS
2019-03-07,180.02000427246094,177.42999267578125,177.8699951171875,178.7899932861328,446800,178.7899932861328,164.81195731784987,164.81195731784987,164.81195731784987,ANSS
2019-03-08,178.39999389648438,174.5500030517578,177.02000427246094,177.42999267578125,635600,177.42999267578125,165.08042615525267,165.08042615525267,165.08042615525267,ANSS
2019-03-11,180.16000366210938,177.8699951171875,177.8699951171875,178.72999572753906,474000,178.72999572753906,165.36479218800864,165.36479218800864,165.36479218800864,ANSS
2019-03-12,181.97000122070312,178.14999389648438,179.0500030517578,180.9600067138672,491200,180.9600067138672,165.68306187220983,165.68306187220983,165.68306187220983,ANSS
2019-03-13,184.11000061035156,180.64999389648438,182.0,180.80999755859375,534500,180.80999755859375,165.9856005859375,165.9856005859375,165.9856005859375,ANSS
2019-03-14,181.19000244140625,179.77000427246094,180.50999450683594,180.6199951171875,512000,180.6199951171875,166.73920043945313,166.27254949831496,166.27254949831496,ANSS
2019-03-15,181.58999633789062,179.2899932861328,180.27999877929688,180.3800048828125,757700,180.3800048828125,167.48660064697265,166.5438467172476,166.5438467172476,ANSS
2019-03-18,181.41000366210938,179.35000610351562,180.80999755859375,180.89999389648438,353700,180.89999389648438,168.35180053710937,166.81471741874262,166.81471741874262,ANSS
2019-03-19,182.05999755859375,180.07000732421875,181.3800048828125,181.1199951171875,378300,181.1199951171875,169.10100036621094,167.07962996871382,167.07962996871382,ANSS
2019-03-20,181.64999389648438,179.2899932861328,181.36000061035156,180.22999572753906,343100,180.22999572753906,169.75920013427734,167.3187275279652,167.3187275279652,ANSS
2019-03-21,182.5,179.02999877929688,179.72999572753906,182.3300018310547,620600,182.3300018310547,170.44480010986328,167.5867859976632,167.5867859976632,ANSS
2019-03-22,182.4499969482422,177.10000610351562,182.02999877929688,177.17999267578125,508400,177.17999267578125,170.97559997558594,167.75508786920915,167.75508786920915,ANSS
2019-03-25,177.75,175.5500030517578,176.4600067138672,177.44000244140625,476300,177.44000244140625,171.47239990234374,167.92206915493668,167.92206915493668,ANSS
2019-03-26,180.3800048828125,175.89999389648438,179.17999267578125,179.69000244140625,320700,179.69000244140625,171.97119995117188,168.12152565131754,168.12152565131754,ANSS
