Date,High,Low,Open,Close,Volume,Adj Close,50ma,100ma,200ma,Symbol
2019-01-03,6.0,5.760000228881836,5.820000171661377,5.940000057220459,22282700.0,5.8925676345825195,5.89,5.89,5.89,SIRI
2019-01-04,6.21999979019165,6.0,6.039999961853027,6.170000076293945,25437800.0,6.120730400085449,6.01,6.01,6.01,SIRI
2019-01-07,6.289999961853027,6.110000133514404,6.119999885559082,6.21999979019165,31693700.0,6.170331001281738,6.06,6.06,6.06,SIRI
2019-01-08,6.349999904632568,6.21999979019165,6.260000228881836,6.349999904632568,23761300.0,6.299293041229248,6.12,6.12,6.12,SIRI
2019-01-09,6.369999885559082,6.0,6.360000133514404,6.059999942779541,43695900.0,6.011609077453613,6.1,6.1,6.1,SIRI
2019-01-10,6.099999904632568,5.960000038146973,6.059999942779541,6.070000171661377,21134600.0,6.021529197692871,6.09,6.09,6.09,SIRI
2019-01-11,6.079999923706055,5.980000019073486,6.070000171661377,6.070000171661377,16582300.0,6.021529197692871,6.08,6.08,6.08,SIRI
2019-01-14,6.059999942779541,5.920000076293945,6.050000190734863,5.949999809265137,20050400.0,5.902487277984619,6.06,6.06,6.06,SIRI
2019-01-15,6.0,5.909999847412109,5.949999809265137,5.980000019073486,18586000.0,5.932248115539551,6.04,6.04,6.04,SIRI
2019-01-16,6.059999942779541,5.949999809265137,5.980000019073486,6.019999980926514,14504700.0,5.971928119659424,6.03,6.03,6.03,SIRI
2019-01-17,6.070000171661377,5.989999771118164,6.019999980926514,6.050000190734863,15045700.0,6.0016889572143555,6.03,6.03,6.03,SIRI
2019-01-18,6.159999847412109,6.039999961853027,6.099999904632568,6.050000190734863,15928700.0,6.0016889572143555,6.03,6.03,6.03,SIRI
2019-01-22,6.039999961853027,5.809999942779541,6.039999961853027,5.849999904632568,23535500.0,5.803285598754883,6.01,6.01,6.01,SIRI
2019-01-23,5.900000095367432,5.690000057220459,5.900000095367432,5.840000152587891,23338900.0,5.793365478515625,6.0,6.0,6.0,SIRI
2019-01-24,5.849999904632568,5.690000057220459,5.840000152587891,5.75,22485100.0,5.704084396362305,5.98,5.98,5.98,SIRI
2019-01-25,5.849999904632568,5.71999979019165,5.800000190734863,5.820000171661377,30393400.0,5.773525714874268,5.96,5.96,5.96,SIRI
2019-01-28,5.829999923706055,5.699999809265137,5.829999923706055,5.75,26625600.0,5.704084396362305,5.95,5.95,5.95,SIRI
2019-01-29,5.820000171661377,5.670000076293945,5.730000019073486,5.739999771118164,33709100.0,5.694163799285889,5.93,5.93,5.93,SIRI
2019-01-30,6.070000171661377,5.769999980926514,5.900000095367432,5.920000076293945,50082900.0,5.872727394104004,5.93,5.93,5.93,SIRI
2019-01-31,6.139999866485596,5.820000171661377,5.929999828338623,5.829999923706055,82658300.0,5.783445835113525,5.92,5.92,5.92,SIRI
2019-02-01,6.039999961853027,5.860000133514404,5.869999885559082,5.980000019073486,46111700.0,5.932248115539551,5.92,5.92,5.92,SIRI
2019-02-04,6.059999942779541,5.929999828338623,5.949999809265137,6.039999961853027,35465200.0,5.991768836975098,5.93,5.93,5.93,SIRI
2019-02-05,6.190000057220459,6.0,6.039999961853027,6.019999980926514,43624700.0,5.971928119659424,5.93,5.93,5.93,SIRI
2019-02-06,6.070000171661377,5.929999828338623,6.050000190734863,5.96999979019165,30674000.0,5.922327995300293,5.93,5.93,5.93,SIRI
2019-02-07,5.960000038146973,5.809999942779541,5.940000057220459,5.889999866485596,30517000.0,5.8429670333862305,5.93,5.93,5.93,SIRI
2019-02-08,5.949999809265137,5.840000152587891,5.849999904632568,5.929999828338623,22481400.0,5.894656181335449,5.92,5.92,5.92,SIRI
2019-02-11,6.0,5.860000133514404,5.929999828338623,5.860000133514404,18537400.0,5.825074195861816,5.92,5.92,5.92,SIRI
2019-02-12,5.929999828338623,5.840000152587891,5.889999866485596,5.900000095367432,27972300.0,5.864835262298584,5.92,5.92,5.92,SIRI
2019-02-13,5.929999828338623,5.809999942779541,5.920000076293945,5.900000095367432,21138500.0,5.864835262298584,5.92,5.92,5.92,SIRI
