Date,High,Low,Open,Close,Volume,Adj Close,50ma,100ma,200ma,Symbol
2019-01-03,158.8000030517578,152.32000732421875,156.60000610351562,154.02000427246094,1828800,154.02000427246094,154.02,154.02,154.02,WDAY
2019-01-04,165.0,155.5800018310547,157.75999450683594,163.35000610351562,3077700,163.35000610351562,158.69,158.69,158.69,WDAY
2019-01-07,166.94000244140625,162.77000427246094,164.11000061035156,163.5,3294200,163.5,160.29,160.29,160.29,WDAY
2019-01-08,167.0,161.13999938964844,165.1199951171875,166.9499969482422,2146600,166.9499969482422,161.96,161.96,161.96,WDAY
2019-01-09,169.0800018310547,165.42999267578125,168.0,166.17999267578125,2471500,166.17999267578125,162.8,162.8,162.8,WDAY
2019-01-10,168.10000610351562,164.02000427246094,165.00999450683594,167.9600067138672,1768300,167.9600067138672,163.66,163.66,163.66,WDAY
2019-01-11,169.50999450683594,166.25999450683594,167.1699981689453,167.4600067138672,1422400,167.4600067138672,164.2,164.2,164.2,WDAY
2019-01-14,166.92999267578125,163.13999938964844,165.38999938964844,163.3300018310547,1816700,163.3300018310547,164.09,164.09,164.09,WDAY
2019-01-15,166.52000427246094,163.6999969482422,164.38999938964844,164.47000122070312,3023400,164.47000122070312,164.14,164.14,164.14,WDAY
2019-01-16,165.55999755859375,162.1300048828125,163.86000061035156,165.33999633789062,2420200,165.33999633789062,164.26,164.26,164.26,WDAY
2019-01-17,168.47999572753906,163.60000610351562,163.88999938964844,166.5800018310547,1619800,166.5800018310547,164.47,164.47,164.47,WDAY
2019-01-18,172.13999938964844,166.9600067138672,168.5,172.0800018310547,2173200,172.0800018310547,165.1,165.1,165.1,WDAY
2019-01-22,172.44000244140625,169.05999755859375,170.24000549316406,170.77000427246094,1614400,170.77000427246094,165.54,165.54,165.54,WDAY
2019-01-23,176.13999938964844,170.52000427246094,171.13999938964844,171.66000366210938,2004600,171.66000366210938,165.98,165.98,165.98,WDAY
2019-01-24,173.69000244140625,170.1999969482422,172.0,171.1999969482422,1216800,171.1999969482422,166.32,166.32,166.32,WDAY
